,neighborhood,rent,beds,baths
0,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",3500,2,1.0
1,"Upper East Side, Upper Manhattan, Manhattan",5795,3,2.0
2,"Hell's Kitchen, Midtown Manhattan, Manhattan",2225,0,1.0
3,"Chelsea, Midtown Manhattan, Manhattan",5030,1,1.0
4,"Hunters Point, Long Island City, Northwestern Queens, Queens",3559,1,1.0
5,"Chelsea, Midtown Manhattan, Manhattan",6790,2,1.0
6,"Williamsburg, Northern Brooklyn, Brooklyn",2700,0,1.0
7,"East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",4000,2,1.0
8,"East Harlem, Upper Manhattan, Manhattan",3495,3,2.0
9,"Inwood, Upper Manhattan, Manhattan",1995,2,1.0
10,"Financial District, Downtown Manhattan, Manhattan",4667,2,1.0
11,"Central Harlem, Upper Manhattan, Manhattan",2150,2,1.0
12,"Astoria, Northwestern Queens, Queens",2025,1,1.0
13,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",3195,1,1.0
14,"Upper East Side, Upper Manhattan, Manhattan",3926,1,1.0
15,"Financial District, Downtown Manhattan, Manhattan",3000,0,1.0
16,"Central Harlem, Upper Manhattan, Manhattan",1650,0,1.0
17,"Theater District, Midtown Manhattan, Manhattan",2930,0,1.0
18,"Hunters Point, Long Island City, Northwestern Queens, Queens",3625,1,1.0
19,"Upper West Side, Upper Manhattan, Manhattan",1900,0,1.0
20,"Financial District, Downtown Manhattan, Manhattan",2711,0,1.0
21,"Chelsea, Midtown Manhattan, Manhattan",3877,1,1.0
22,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",4300,4,2.0
23,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",4195,1,1.0
24,"Hell's Kitchen, Midtown Manhattan, Manhattan",2860,0,1.0
25,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",3895,0,1.0
26,"Financial District, Downtown Manhattan, Manhattan",2933,0,1.0
27,"Greenwich Village, Downtown Manhattan, Manhattan",3300,1,1.0
28,"Alphabet City, East Village, Downtown Manhattan, Manhattan",3000,2,1.0
29,"Hell's Kitchen, Midtown Manhattan, Manhattan",3395,1,1.0
30,"Alphabet City, East Village, Downtown Manhattan, Manhattan",4800,3,1.0
31,"Astoria, Northwestern Queens, Queens",3550,2,1.0
32,"Crown Heights, Central Brooklyn, Brooklyn",2450,2,1.0
33,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",4200,2,1.0
34,"Hell's Kitchen, Midtown Manhattan, Manhattan",6850,4,2.0
35,"Chelsea, Midtown Manhattan, Manhattan",5450,4,1.0
36,"Alphabet City, East Village, Downtown Manhattan, Manhattan",3664,2,1.0
37,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",2150,1,1.0
38,"Central Harlem, Upper Manhattan, Manhattan",1950,1,1.0
39,"Murray Hill, Midtown Manhattan, Manhattan",3500,0,1.0
40,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",7695,3,2.0
41,"Hunters Point, Long Island City, Northwestern Queens, Queens",3480,1,1.0
42,"East Harlem, Upper Manhattan, Manhattan",2295,1,1.0
43,"Long Island City, Northwestern Queens, Queens",2525,0,1.0
44,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",3700,1,1.0
45,"Chelsea, Midtown Manhattan, Manhattan",3375,2,1.0
46,"Astoria, Northwestern Queens, Queens",5800,3,2.0
47,"Battery Park City, Downtown Manhattan, Manhattan",3895,1,1.0
48,"Crown Heights, Central Brooklyn, Brooklyn",2999,3,2.0
49,"Chelsea, Midtown Manhattan, Manhattan",3422,1,1.0
50,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2200,1,1.0
51,"Theater District, Midtown Manhattan, Manhattan",5133,2,2.0
52,"Chelsea, Midtown Manhattan, Manhattan",4000,3,1.0
53,"Central Harlem, Upper Manhattan, Manhattan",2700,1,1.0
54,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",3700,1,1.0
55,"Long Island City, Northwestern Queens, Queens",2585,0,1.0
56,"Greenwich Village, Downtown Manhattan, Manhattan",3300,1,1.0
57,"Chelsea, Midtown Manhattan, Manhattan",3851,0,1.0
58,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",3600,1,1.0
59,"Central Harlem, Upper Manhattan, Manhattan",1750,0,1.0
60,"Astoria, Northwestern Queens, Queens",3800,2,2.0
61,"West Village, Downtown Manhattan, Manhattan",10500,2,2.0
62,"Central Harlem, Upper Manhattan, Manhattan",1875,1,1.0
63,"East Harlem, Upper Manhattan, Manhattan",2595,2,1.0
64,"Financial District, Downtown Manhattan, Manhattan",3733,1,1.0
65,"Bushwick, Northern Brooklyn, Brooklyn",2887,1,1.0
66,"Hell's Kitchen, Midtown Manhattan, Manhattan",3000,0,1.0
67,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",2800,0,1.0
68,"Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",1795,0,1.0
69,"Battery Park City, Downtown Manhattan, Manhattan",3750,1,1.0
70,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",3400,1,1.0
71,"Financial District, Downtown Manhattan, Manhattan",3700,1,1.0
72,"Chelsea, Midtown Manhattan, Manhattan",8177,4,2.0
73,"Chelsea, Midtown Manhattan, Manhattan",5230,2,2.0
74,"West Village, Downtown Manhattan, Manhattan",3450,0,1.0
75,"Astoria, Northwestern Queens, Queens",2550,1,1.0
76,"East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",3500,3,1.0
77,"Financial District, Downtown Manhattan, Manhattan",3080,0,1.0
78,"Washington Heights, Upper Manhattan, Manhattan",2193,2,1.0
79,"Astoria, Northwestern Queens, Queens",1725,1,1.0
80,"Inwood, Upper Manhattan, Manhattan",2350,2,1.0
81,"Crown Heights, Central Brooklyn, Brooklyn",3850,4,2.0
82,"Financial District, Downtown Manhattan, Manhattan",4695,1,1.0
83,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",3150,0,1.0
84,"Central Harlem, Upper Manhattan, Manhattan",1995,1,1.0
85,"Long Island City, Northwestern Queens, Queens",3750,1,1.0
86,"Gramercy Park, Midtown Manhattan, Manhattan",3595,2,1.0
87,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",4500,2,1.0
88,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",2195,0,1.0
89,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2350,1,1.0
90,"Alphabet City, East Village, Downtown Manhattan, Manhattan",4900,2,1.0
91,"Financial District, Downtown Manhattan, Manhattan",4996,1,1.0
92,"Financial District, Downtown Manhattan, Manhattan",2525,0,1.0
93,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",1850,0,1.0
94,"Upper West Side, Upper Manhattan, Manhattan",1795,0,1.0
95,"East Village, Downtown Manhattan, Manhattan",2700,0,1.0
96,"Long Island City, Northwestern Queens, Queens",3485,1,1.0
97,"Alphabet City, East Village, Downtown Manhattan, Manhattan",4295,2,1.0
98,"Central Harlem, Upper Manhattan, Manhattan",1875,1,1.0
99,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",6295,3,2.0
100,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",7500,3,2.0
101,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",5125,3,2.0
102,"Central Harlem, Upper Manhattan, Manhattan",2350,1,1.0
103,"Bushwick, Northern Brooklyn, Brooklyn",2850,1,1.0
104,"Financial District, Downtown Manhattan, Manhattan",3479,1,1.0
105,"East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",3700,1,1.0
106,"Financial District, Downtown Manhattan, Manhattan",5313,2,2.0
107,"Financial District, Downtown Manhattan, Manhattan",3000,0,1.0
108,"Sutton Place, Midtown East, Midtown Manhattan, Manhattan",5400,2,2.0
109,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",1950,0,1.0
110,"Financial District, Downtown Manhattan, Manhattan",3566,1,1.0
111,"Financial District, Downtown Manhattan, Manhattan",2889,0,1.0
112,"Alphabet City, East Village, Downtown Manhattan, Manhattan",2395,1,1.0
113,"Hell's Kitchen, Midtown Manhattan, Manhattan",3295,1,1.0
114,"West Village, Downtown Manhattan, Manhattan",2995,0,1.0
115,"Financial District, Downtown Manhattan, Manhattan",7992,3,2.0
116,"Chelsea, Midtown Manhattan, Manhattan",3900,1,1.0
117,"Greenpoint, Northern Brooklyn, Brooklyn",3300,1,1.0
118,"Greenwich Village, Downtown Manhattan, Manhattan",3200,0,1.0
119,"Inwood, Upper Manhattan, Manhattan",2450,2,1.0
120,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",6250,3,2.0
121,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",1935,0,1.0
122,"Hell's Kitchen, Midtown Manhattan, Manhattan",3500,1,1.0
123,"Central Harlem, Upper Manhattan, Manhattan",2400,1,1.0
124,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3300,0,1.0
125,"East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",3399,2,1.0
126,"Hudson Heights, Washington Heights, Upper Manhattan, Manhattan",1950,1,1.0
127,"Financial District, Downtown Manhattan, Manhattan",4006,1,1.0
128,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2222,1,1.0
129,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",2190,2,1.0
