,url,address,neighborhood,rent,beds,baths
0,https://www.renthop.com/listings/382-wadsworth-ave/4g/15761811,"382 Wadsworth Ave, Apt 4G","Fort George, Washington Heights, Upper Manhattan, Manhattan","$2,300",2_Bed,1_Bath
1,https://www.renthop.com/listings/162-east-33rd-street/3tw/15775226,"162 East 33rd Street, Apt 3TW","Rose Hill, Kips Bay, Midtown Manhattan, Manhattan","$3,500",2_Bed,1_Bath
2,https://www.renthop.com/listings/400-east-71st-street/12def/15632907,"400 East 71st Street, Apt 12DE...","Upper East Side, Upper Manhattan, Manhattan","$5,795",3_Bed,2_Bath
3,https://www.renthop.com/listings/814-10th-avenue/7c/15685264,"814 10th Avenue, Apt 7C","Hell's Kitchen, Midtown Manhattan, Manhattan","$2,225",Studio,1_Bath
4,https://www.renthop.com/listings/100-west-31st-street/36g/15542114,"100 West 31st Street, Apt 36G","Chelsea, Midtown Manhattan, Manhattan","$5,030",1_Bed,1_Bath
5,https://www.renthop.com/listings/50-ave/16l/15759417,"2-01 50 Ave, Apt 16L","Hunters Point, Long Island City, Northwestern Queens, Queens","$3,559",1_Bed,1_Bath
6,https://www.renthop.com/listings/100-west-31st-street/44b/15656824,"100 West 31st Street, Apt 44B","Chelsea, Midtown Manhattan, Manhattan","$6,790",2_Bed,1_Bath
7,https://www.renthop.com/listings/171-north-10-th/4c/15721117,171 North 10 th,"Williamsburg, Northern Brooklyn, Brooklyn","$2,700",Studio,1_Bath
8,https://www.renthop.com/listings/312-devoe-st/4d/15756042,"312 Devoe St, Apt 4D","East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn","$4,000",2_Bed,1_Bath
9,https://www.renthop.com/listings/1-avenue/1/15683861,"2329 1 Avenue, Apt 1","East Harlem, Upper Manhattan, Manhattan","$3,495",3_Bed,2_Bath
10,https://www.renthop.com/listings/vermilyea/2c/15595556,"121 Vermilyea, Apt 2C","Inwood, Upper Manhattan, Manhattan","$1,995",2_Bed,1_Bath
11,https://www.renthop.com/listings/gold-street/4667/15751854, Gold street,"Financial District, Downtown Manhattan, Manhattan","$4,667",2_Bed,1_Bath
12,https://www.renthop.com/listings/242-bradhurst-avenue/44/14644525,"242 Bradhurst Avenue, Apt 44","Central Harlem, Upper Manhattan, Manhattan","$2,150",2_Bed,1_Bath
13,https://www.renthop.com/listings/29th-street/5c/15654601,29th Street,"Astoria, Northwestern Queens, Queens","$2,025",1_Bed,1_Bath
14,https://www.renthop.com/listings/2-avenue/16/15674424,"493 2 Avenue, Apt 16","Rose Hill, Kips Bay, Midtown Manhattan, Manhattan","$3,195",1_Bed,1_Bath
15,https://www.renthop.com/listings/e-63-st/3f/15759428,E 63 St,"Upper East Side, Upper Manhattan, Manhattan","$3,926",1_Bed,1_Bath
16,https://www.renthop.com/listings/west-street/19x/15749591,West street,"Financial District, Downtown Manhattan, Manhattan","$3,000",Studio,1_Bath
17,https://www.renthop.com/listings/2300-5th-avenue/3/15051512,"2300 5th Avenue, Apt 3","Central Harlem, Upper Manhattan, Manhattan","$1,650",Studio,1_Bath
18,https://www.renthop.com/listings/271-west-47th-street/14g/15151643,"271 West 47th Street, Apt 14G","Theater District, Midtown Manhattan, Manhattan","$2,930",Studio,1_Bath
19,https://www.renthop.com/listings/48-ave/3710/15759430,"4-75 48 Ave, Apt 3710","Hunters Point, Long Island City, Northwestern Queens, Queens","$3,625",1_Bed,1_Bath
20,https://www.renthop.com/listings/29th-street/5c/15654601,29th Street,"Astoria, Northwestern Queens, Queens","$2,025",1_Bed,1_Bath
